7.805507	7.805507	1
10.120699	10.120699	2
12.369744	12.369744	3
14.552639	14.552639	4
16.867832	16.867832	5
19.183025	19.183025	6
21.498217	21.498217	7
23.813410	23.813410	8
26.062454	26.062454	9
28.377647	28.377647	10
30.692840	30.692840	11
32.941884	32.941884	12
35.190928	35.190928	13
37.439972	37.439972	14
39.821313	39.821313	15
42.070358	42.070358	16
44.385550	44.385550	17
46.568446	46.568446	18
48.883639	48.883639	19
50.008161	50.008161	20
51.198832	51.198832	21
52.389502	52.389502	22
53.447876	53.447876	23
55.763068	55.763068	24
58.012113	58.012113	25
62.642498	62.642498	26
64.825394	64.825394	27
67.206735	67.206735	28
71.704823	71.704823	29
74.020016	74.020016	30
76.401357	76.401357	31
80.899446	80.899446	32
83.082342	83.082342	33
85.397534	85.397534	34
87.712727	87.712727	35
88.969546	88.969546	36
94.592156	94.592156	37
96.907349	96.907349	38
99.090245	99.090245	39
101.471586	101.471586	40
103.720630	103.720630	41
105.969675	105.969675	42
108.284867	108.284867	43
110.533911	110.533911	44
